date,callsReceived
2016-11-07,6065
2016-11-08,5691
2016-11-09,5754
2016-11-10,5620
2016-11-11,5672
2016-11-12,2798
2016-11-13,1953
2016-11-14,
2016-11-15,
2016-11-16,
2016-11-17,
2016-11-18,
2016-11-19,
2016-11-20,
2016-11-21,7543
2016-11-22,7351
2016-11-23,6788
2016-11-24,6026
2016-11-25,6655
2016-11-26,3020
2016-11-27,2248
2016-11-28,7596
2016-11-29,7469
2016-11-30,6240
2016-12-01,6026
2016-12-02,6730
2016-12-03,3068
2016-12-04,2168
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,
2016-12-09,
2016-12-10,
2016-12-11,
2016-12-12,2538
2016-12-13,1939
2016-12-14,7106
2016-12-15,6503
2016-12-16,5868
2016-12-17,2853
2016-12-18,2011
2016-12-19,7060
2016-12-20,6634
2016-12-21,6953
2016-12-22,6455
2016-12-23,6568
2016-12-24,3398
2016-12-25,3335
2016-12-26,6519
2016-12-27,6747
2016-12-28,6432
2016-12-29,6131
2016-12-30,5549
2016-12-31,2505
2017-01-01,1534
2017-01-02,5528
2017-01-03,5876
2017-01-04,6123
2017-01-05,5848
2017-01-06,5472
2017-01-07,3249
2017-01-08,2056
2017-01-09,6682
2017-01-10,6150
2017-01-11,6053
2017-01-12,2115
2017-01-13,6358
2017-01-14,2369
2017-01-15,1998
2017-01-16,6525
2017-01-17,6199
2017-01-18,6037
2017-01-19,6016
2017-01-20,6692
2017-01-21,3170
2017-01-22,2300
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,8193
2017-01-31,7747
2017-02-01,8198
2017-02-02,8384
2017-02-03,8199
2017-02-04,3355
2017-02-05,3535
2017-02-06,10283
2017-02-07,10817
2017-02-08,10850
2017-02-09,10413
2017-02-10,4491
2017-02-11,6061
2017-02-12,4541
2017-02-13,11638
2017-02-14,10733
2017-02-15,10057
2017-02-16,8888
2017-02-17,7840
2017-02-18,3569
2017-02-19,2467
2017-02-20,7839
2017-02-21,6896
2017-02-22,6306
2017-02-23,6474
2017-02-24,3109
2017-02-25,2762
2017-02-26,1921
2017-02-27,6804
2017-02-28,6035
2017-03-01,5696
2017-03-02,5729
2017-03-03,5535
2017-03-04,2497
2017-03-05,1921
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,6648
2017-03-14,6107
2017-03-15,5785
2017-03-16,5645
2017-03-17,5292
2017-03-18,2457
2017-03-19,1800
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,6182
2017-03-28,6457
2017-03-29,5637
2017-03-30,5070
2017-03-31,5295
2017-04-01,2390
2017-04-02,1711
2017-04-03,5880
2017-04-04,5453
2017-04-05,5637
2017-04-06,5191
2017-04-07,5917
2017-04-08,2925
2017-04-09,1923
2017-04-10,1862
2017-04-11,5245
2017-04-12,4153
2017-04-13,2399
2017-04-14,2483
2017-04-15,2225
2017-04-16,1982
2017-04-17,4745
2017-04-18,4875
2017-04-19,5337
2017-04-20,5450
2017-04-21,5018
2017-04-22,2444
2017-04-23,1706
2017-04-24,5671
2017-04-25,5136
2017-04-26,5309
2017-04-27,5450
2017-04-28,5197
2017-04-29,2535
2017-04-30,1906
2017-05-01,1873
2017-05-02,5770
2017-05-03,5360
2017-05-04,5634
2017-05-05,5901
2017-05-06,2533
2017-05-07,1789
2017-05-08,5735
2017-05-09,5196
2017-05-10,1327
2017-05-11,1913
2017-05-12,5436
2017-05-13,2470
2017-05-14,1962
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-03,
2017-06-04,
2017-06-05,6011
2017-06-06,6944
2017-06-07,6399
2017-06-08,1758
2017-06-09,5611
2017-06-10,2574
2017-06-11,1986
2017-06-12,6607
2017-06-13,6882
2017-06-14,6913
2017-06-15,6052
2017-06-16,5904
2017-06-17,2839
2017-06-18,1814
2017-06-19,6793
2017-06-20,6797
2017-06-21,7342
2017-06-22,7007
2017-06-23,6666
2017-06-24,3379
2017-06-25,1934
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
